,Infinitive(eng),Infinitive(FI),examples,person,positive,negative
0,translate into polish,puolantaa,I am walking,minä,puolannan,en puolanna
1,translate into polish,puolantaa,you are walking,sinä,puolannat,et puolanna
2,translate into polish,puolantaa,he/she is walking,hän,puolantaa,ei puolanna
3,translate into polish,puolantaa,we are walking,me,puolannamme,emme puolanna
4,translate into polish,puolantaa,you(plural/respectful) are walking,te,puolannatte,ette puolanna
5,translate into polish,puolantaa,they are walking,he,puolantavat,eivät puolanna
6,translate into polish,puolantaa,(passive) walking,passiivi,puolannetaan,ei puolanneta
7,translate into polish,puolantaa,I walked,minä,olen puolantanut,en ole puolantanut
8,translate into polish,puolantaa,You walked,sinä,olet puolantanut,et ole puolantanut
9,translate into polish,puolantaa,he/she walked,hän,on puolantanut,ei ole puolantanut
10,translate into polish,puolantaa,we walked,me,olemme puolantaneet,emme ole puolantaneet
11,translate into polish,puolantaa,you(plural/respectful) walked,te,olette puolantaneet,ette ole puolantaneet
12,translate into polish,puolantaa,they walked,he,ovat puolantaneet,eivät ole puolantaneet
13,translate into polish,puolantaa,(passive) walked,passiivi,on puolannettu,ei ole puolannettu
14,translate into polish,puolantaa,I was walking,minä,puolansin,en puolantanut
15,translate into polish,puolantaa,You were walking,sinä,puolansit,et puolantanut
16,translate into polish,puolantaa,he/she was walking,hän,puolansi,ei puolantanut
17,translate into polish,puolantaa,we were walking,me,puolansimme,emme puolantaneet
18,translate into polish,puolantaa,you(plural/respectful) were walking,te,puolansitte,ette puolantaneet
19,translate into polish,puolantaa,they were walking,he,puolansivat,eivät puolantaneet
20,translate into polish,puolantaa,(passive) were walking,passiivi,puolannettiin,ei puolannettu
21,translate into polish,puolantaa,I had walked,minä,olin puolantanut,en ollut puolantanut
22,translate into polish,puolantaa,You had walked,sinä,olit puolantanut,et ollut puolantanut
23,translate into polish,puolantaa,He/she had walked,hän,oli puolantanut,ei ollut puolantanut
24,translate into polish,puolantaa,We had walked,me,olimme puolantaneet,emme olleet puolantaneet
25,translate into polish,puolantaa,You(plural/repectful) had walked,te,olitte puolantaneet,ette olleet puolantaneet
26,translate into polish,puolantaa,They had walked,he,olivat puolantaneet,eivät olleet puolantaneet
27,translate into polish,puolantaa,(passive) had walked,passiivi,oli puolannettu,ei ollut puolannettu
28,spool,puolata,,,,
29,halve,puoliintua,I am walking,minä,puoliinnun,en puoliinnu
30,halve,puoliintua,you are walking,sinä,puoliinnut,et puoliinnu
31,halve,puoliintua,he/she is walking,hän,puoliintuu,ei puoliinnu
32,halve,puoliintua,we are walking,me,puoliinnumme,emme puoliinnu
33,halve,puoliintua,you(plural/respectful) are walking,te,puoliinnutte,ette puoliinnu
34,halve,puoliintua,they are walking,he,puoliintuvat,eivät puoliinnu
35,halve,puoliintua,(passive) walking,passiivi,puoliinnutaan,ei puoliinnuta
36,halve,puoliintua,I walked,minä,olen puoliintunut,en ole puoliintunut
37,halve,puoliintua,You walked,sinä,olet puoliintunut,et ole puoliintunut
38,halve,puoliintua,he/she walked,hän,on puoliintunut,ei ole puoliintunut
39,halve,puoliintua,we walked,me,olemme puoliintuneet,emme ole puoliintuneet
40,halve,puoliintua,you(plural/respectful) walked,te,olette puoliintuneet,ette ole puoliintuneet
41,halve,puoliintua,they walked,he,ovat puoliintuneet,eivät ole puoliintuneet
42,halve,puoliintua,(passive) walked,passiivi,on puoliinnuttu,ei ole puoliinnuttu
43,halve,puoliintua,I was walking,minä,puoliinnuin,en puoliintunut
44,halve,puoliintua,You were walking,sinä,puoliinnuit,et puoliintunut
45,halve,puoliintua,he/she was walking,hän,puoliintui,ei puoliintunut
46,halve,puoliintua,we were walking,me,puoliinnuimme,emme puoliintuneet
47,halve,puoliintua,you(plural/respectful) were walking,te,puoliinnuitte,ette puoliintuneet
48,halve,puoliintua,they were walking,he,puoliintuivat,eivät puoliintuneet
49,halve,puoliintua,(passive) were walking,passiivi,puoliinnuttiin,ei puoliinnuttu
50,halve,puoliintua,I had walked,minä,olin puoliintunut,en ollut puoliintunut
51,halve,puoliintua,You had walked,sinä,olit puoliintunut,et ollut puoliintunut
52,halve,puoliintua,He/she had walked,hän,oli puoliintunut,ei ollut puoliintunut
53,halve,puoliintua,We had walked,me,olimme puoliintuneet,emme olleet puoliintuneet
54,halve,puoliintua,You(plural/repectful) had walked,te,olitte puoliintuneet,ette olleet puoliintuneet
55,halve,puoliintua,They had walked,he,olivat puoliintuneet,eivät olleet puoliintuneet
56,halve,puoliintua,(passive) had walked,passiivi,oli puoliinnuttu,ei ollut puoliinnuttu
57,halve,puolittaa,I am walking,minä,puolitan,en puolita
58,halve,puolittaa,you are walking,sinä,puolitat,et puolita
59,halve,puolittaa,he/she is walking,hän,puolittaa,ei puolita
60,halve,puolittaa,we are walking,me,puolitamme,emme puolita
61,halve,puolittaa,you(plural/respectful) are walking,te,puolitatte,ette puolita
62,halve,puolittaa,they are walking,he,puolittavat,eivät puolita
63,halve,puolittaa,(passive) walking,passiivi,puolitetaan,ei puoliteta
64,halve,puolittaa,I walked,minä,olen puolittanut,en ole puolittanut
65,halve,puolittaa,You walked,sinä,olet puolittanut,et ole puolittanut
66,halve,puolittaa,he/she walked,hän,on puolittanut,ei ole puolittanut
67,halve,puolittaa,we walked,me,olemme puolittaneet,emme ole puolittaneet
68,halve,puolittaa,you(plural/respectful) walked,te,olette puolittaneet,ette ole puolittaneet
69,halve,puolittaa,they walked,he,ovat puolittaneet,eivät ole puolittaneet
70,halve,puolittaa,(passive) walked,passiivi,on puolitettu,ei ole puolitettu
71,halve,puolittaa,I was walking,minä,puolitin,en puolittanut
72,halve,puolittaa,You were walking,sinä,puolitit,et puolittanut
73,halve,puolittaa,he/she was walking,hän,puolitti,ei puolittanut
74,halve,puolittaa,we were walking,me,puolitimme,emme puolittaneet
75,halve,puolittaa,you(plural/respectful) were walking,te,puolititte,ette puolittaneet
76,halve,puolittaa,they were walking,he,puolittivat,eivät puolittaneet
77,halve,puolittaa,(passive) were walking,passiivi,puolitettiin,ei puolitettu
78,halve,puolittaa,I had walked,minä,olin puolittanut,en ollut puolittanut
79,halve,puolittaa,You had walked,sinä,olit puolittanut,et ollut puolittanut
80,halve,puolittaa,He/she had walked,hän,oli puolittanut,ei ollut puolittanut
81,halve,puolittaa,We had walked,me,olimme puolittaneet,emme olleet puolittaneet
82,halve,puolittaa,You(plural/repectful) had walked,te,olitte puolittaneet,ette olleet puolittaneet
83,halve,puolittaa,They had walked,he,olivat puolittaneet,eivät olleet puolittaneet
84,halve,puolittaa,(passive) had walked,passiivi,oli puolitettu,ei ollut puolitettu
85,halve,puolittua,I am walking,minä,puolitun,en puolitu
86,halve,puolittua,you are walking,sinä,puolitut,et puolitu
87,halve,puolittua,he/she is walking,hän,puolittuu,ei puolitu
88,halve,puolittua,we are walking,me,puolitumme,emme puolitu
89,halve,puolittua,you(plural/respectful) are walking,te,puolitutte,ette puolitu
90,halve,puolittua,they are walking,he,puolittuvat,eivät puolitu
91,halve,puolittua,(passive) walking,passiivi,puolitutaan,ei puolituta
92,halve,puolittua,I walked,minä,olen puolittunut,en ole puolittunut
93,halve,puolittua,You walked,sinä,olet puolittunut,et ole puolittunut
94,halve,puolittua,he/she walked,hän,on puolittunut,ei ole puolittunut
95,halve,puolittua,we walked,me,olemme puolittuneet,emme ole puolittuneet
96,halve,puolittua,you(plural/respectful) walked,te,olette puolittuneet,ette ole puolittuneet
97,halve,puolittua,they walked,he,ovat puolittuneet,eivät ole puolittuneet
98,halve,puolittua,(passive) walked,passiivi,on puolituttu,ei ole puolituttu
99,halve,puolittua,I was walking,minä,puolituin,en puolittunut
100,halve,puolittua,You were walking,sinä,puolituit,et puolittunut
101,halve,puolittua,he/she was walking,hän,puolittui,ei puolittunut
102,halve,puolittua,we were walking,me,puolituimme,emme puolittuneet
103,halve,puolittua,you(plural/respectful) were walking,te,puolituitte,ette puolittuneet
104,halve,puolittua,they were walking,he,puolittuivat,eivät puolittuneet
105,halve,puolittua,(passive) were walking,passiivi,puolituttiin,ei puolituttu
106,halve,puolittua,I had walked,minä,olin puolittunut,en ollut puolittunut
107,halve,puolittua,You had walked,sinä,olit puolittunut,et ollut puolittunut
108,halve,puolittua,He/she had walked,hän,oli puolittunut,ei ollut puolittunut
109,halve,puolittua,We had walked,me,olimme puolittuneet,emme olleet puolittuneet
110,halve,puolittua,You(plural/repectful) had walked,te,olitte puolittuneet,ette olleet puolittuneet
111,halve,puolittua,They had walked,he,olivat puolittuneet,eivät olleet puolittuneet
112,halve,puolittua,(passive) had walked,passiivi,oli puolituttu,ei ollut puolituttu
113,halve,puoliutua,I am walking,minä,puoliudun,en puoliudu
114,halve,puoliutua,you are walking,sinä,puoliudut,et puoliudu
115,halve,puoliutua,he/she is walking,hän,puoliutuu,ei puoliudu
116,halve,puoliutua,we are walking,me,puoliudumme,emme puoliudu
117,halve,puoliutua,you(plural/respectful) are walking,te,puoliudutte,ette puoliudu
118,halve,puoliutua,they are walking,he,puoliutuvat,eivät puoliudu
119,halve,puoliutua,(passive) walking,passiivi,puoliudutaan,ei puoliuduta
120,halve,puoliutua,I walked,minä,olen puoliutunut,en ole puoliutunut
121,halve,puoliutua,You walked,sinä,olet puoliutunut,et ole puoliutunut
122,halve,puoliutua,he/she walked,hän,on puoliutunut,ei ole puoliutunut
123,halve,puoliutua,we walked,me,olemme puoliutuneet,emme ole puoliutuneet
124,halve,puoliutua,you(plural/respectful) walked,te,olette puoliutuneet,ette ole puoliutuneet
125,halve,puoliutua,they walked,he,ovat puoliutuneet,eivät ole puoliutuneet
126,halve,puoliutua,(passive) walked,passiivi,on puoliuduttu,ei ole puoliuduttu
127,halve,puoliutua,I was walking,minä,puoliuduin,en puoliutunut
128,halve,puoliutua,You were walking,sinä,puoliuduit,et puoliutunut
129,halve,puoliutua,he/she was walking,hän,puoliutui,ei puoliutunut
130,halve,puoliutua,we were walking,me,puoliuduimme,emme puoliutuneet
131,halve,puoliutua,you(plural/respectful) were walking,te,puoliuduitte,ette puoliutuneet
132,halve,puoliutua,they were walking,he,puoliutuivat,eivät puoliutuneet
133,halve,puoliutua,(passive) were walking,passiivi,puoliuduttiin,ei puoliuduttu
134,halve,puoliutua,I had walked,minä,olin puoliutunut,en ollut puoliutunut
135,halve,puoliutua,You had walked,sinä,olit puoliutunut,et ollut puoliutunut
136,halve,puoliutua,He/she had walked,hän,oli puoliutunut,ei ollut puoliutunut
137,halve,puoliutua,We had walked,me,olimme puoliutuneet,emme olleet puoliutuneet
138,halve,puoliutua,You(plural/repectful) had walked,te,olitte puoliutuneet,ette olleet puoliutuneet
139,halve,puoliutua,They had walked,he,olivat puoliutuneet,eivät olleet puoliutuneet
140,halve,puoliutua,(passive) had walked,passiivi,oli puoliuduttu,ei ollut puoliuduttu
141,pull,puoltaa,I am walking,minä,puollan,en puolla
142,pull,puoltaa,you are walking,sinä,puollat,et puolla
143,pull,puoltaa,he/she is walking,hän,puoltaa,ei puolla
144,pull,puoltaa,we are walking,me,puollamme,emme puolla
145,pull,puoltaa,you(plural/respectful) are walking,te,puollatte,ette puolla
146,pull,puoltaa,they are walking,he,puoltavat,eivät puolla
147,pull,puoltaa,(passive) walking,passiivi,puolletaan,ei puolleta
148,pull,puoltaa,I walked,minä,olen puoltanut,en ole puoltanut
149,pull,puoltaa,You walked,sinä,olet puoltanut,et ole puoltanut
150,pull,puoltaa,he/she walked,hän,on puoltanut,ei ole puoltanut
151,pull,puoltaa,we walked,me,olemme puoltaneet,emme ole puoltaneet
152,pull,puoltaa,you(plural/respectful) walked,te,olette puoltaneet,ette ole puoltaneet
153,pull,puoltaa,they walked,he,ovat puoltaneet,eivät ole puoltaneet
154,pull,puoltaa,(passive) walked,passiivi,on puollettu,ei ole puollettu
155,pull,puoltaa,I was walking,minä,puolsin,en puoltanut
156,pull,puoltaa,You were walking,sinä,puolsit,et puoltanut
157,pull,puoltaa,he/she was walking,hän,puolsi,ei puoltanut
158,pull,puoltaa,we were walking,me,puolsimme,emme puoltaneet
159,pull,puoltaa,you(plural/respectful) were walking,te,puolsitte,ette puoltaneet
160,pull,puoltaa,they were walking,he,puolsivat,eivät puoltaneet
161,pull,puoltaa,(passive) were walking,passiivi,puollettiin,ei puollettu
162,pull,puoltaa,I had walked,minä,olin puoltanut,en ollut puoltanut
